AreaId,AreaCode,AreaName,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,E06000001,Hartlepool                                                                                          ,0,0,0,0,1,5,2,9,9,10,2,5,3,2,0
2,E06000002,Middlesbrough                                                                                       ,0,0,0,0,10,13,29,17,17,10,9,4,4,4,3
3,E06000003,Redcar and Cleveland                                                                                ,0,0,0,0,0,2,8,7,9,12,7,11,8,6,3
4,E06000004,Stockton-on-Tees                                                                                    ,0,0,1,1,1,3,8,8,4,18,6,7,8,3,2
5,E06000005,Darlington                                                                                          ,0,0,0,0,1,1,5,12,9,4,8,6,0,4,1
6,E06000006,Halton                                                                                              ,0,0,0,0,2,2,13,4,4,2,4,7,5,8,4
7,E06000007,Warrington                                                                                          ,0,0,0,0,3,22,26,26,22,14,8,9,4,1,4
8,E06000008,Blackburn with Darwen                                                                               ,0,0,0,0,2,1,2,6,3,5,2,1,2,1,0
9,E06000009,Blackpool                                                                                           ,0,0,0,0,0,3,9,6,7,6,4,2,2,2,0
10,E06000010,"Kingston upon Hull, City of                                                                         ",0,0,0,0,0,6,8,7,13,18,10,9,11,12,5
11,E06000011,East Riding of Yorkshire                                                                            ,0,0,0,0,2,10,9,14,24,15,18,10,22,11,9
12,E06000012,North East Lincolnshire                                                                             ,0,0,0,1,0,0,3,0,2,1,1,0,0,0,0
13,E06000013,North Lincolnshire                                                                                  ,0,0,0,0,0,0,1,9,3,9,6,6,5,2,2
14,E06000014,York                                                                                                ,0,0,0,1,2,2,11,5,22,11,13,6,2,2,2
15,E06000015,Derby                                                                                               ,0,0,0,2,6,16,36,15,11,14,3,3,5,6,1
16,E06000016,Leicester                                                                                           ,0,0,0,3,5,8,10,15,9,13,12,7,4,5,5
17,E06000017,Rutland                                                                                             ,0,0,0,0,0,0,0,1,0,0,1,2,4,0,1
18,E06000018,Nottingham                                                                                          ,0,0,0,0,2,10,17,15,20,19,6,2,1,4,0
19,E06000019,"Herefordshire, County of                                                                            ",0,0,0,0,1,0,1,3,10,13,16,12,6,4,0
20,E06000020,Telford and Wrekin                                                                                  ,0,0,0,0,1,3,9,9,7,5,4,4,2,0,0
21,E06000021,Stoke-on-Trent                                                                                      ,0,0,0,1,3,9,15,14,9,9,7,9,4,3,1
22,E06000022,Bath and North East Somerset                                                                        ,0,0,0,1,5,10,11,10,10,3,1,1,2,1,1
23,E06000023,"Bristol, City of                                                                                    ",0,0,0,1,6,19,27,25,22,11,4,4,0,2,3
24,E06000024,North Somerset                                                                                      ,0,0,0,0,2,1,4,3,12,18,5,3,6,7,1
25,E06000025,South Gloucestershire                                                                               ,0,0,0,1,4,14,8,12,13,8,7,8,7,3,3
26,E06000026,Plymouth                                                                                            ,0,0,0,0,0,6,3,6,3,7,7,3,2,2,1
27,E06000027,Torbay                                                                                              ,0,0,0,0,1,1,6,9,5,5,2,0,1,0,0
